"CO_UNIDADE";"CO_LEITO";"CO_TIPO_LEITO";"TP_ALTACOMP";"QT_EXIST";"QT_CONTR";"QT_SUS";"TO_CHAR(DT_ATUALIZACAO,'DD/MM/YYYY')";"CO_USUARIO";"TO_CHAR(DT_ATUALIZACAO_ORIGEM,'DD/MM/YYYY')"
"3304552270684";"10";"4 ";"";"104";"";"0";"02/05/2014";"SMS RIO";"18/06/2004"
"3304552270684";"45";"5 ";"";"8";"";"0";"02/05/2014";"SMS RIO";"18/06/2004"
"3304552273403";"47";"6 ";"";"50";"";"0";"06/02/2019";"SMS RIO";"18/06/2004"
"3304552295067";"34";"6 ";"";"1";"";"1";"23/01/2020";"FCES";"18/06/2004"
"3304552295067";"44";"2 ";"";"49";"";"49";"23/01/2020";"FATURAMENTO";"18/06/2004"
"3304552295067";"66";"3 ";"";"1";"";"1";"23/01/2020";"FCES";"18/06/2004"
"3543902082888";"66";"3 ";"";"3";"";"2";"07/02/2020";"VITORIA";"03/11/2004"
"3548802082330";"02";"1 ";"";"4";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"04";"1 ";"";"4";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"06";"1 ";"";"2";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"4111802783800";"03";"1 ";"";"9";"";"8";"24/01/2020";"FLAVIO";"03/11/2004"
"4111802783800";"33";"2 ";"";"30";"";"19";"24/01/2020";"FLAVIO";"03/11/2004"
"4111802783800";"74";"3 ";"";"6";"";"0";"24/01/2020";"FLAVIO";"03/11/2004"
"3548802082330";"10";"4 ";"";"3";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"12";"1 ";"";"4";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"14";"1 ";"";"4";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"16";"1 ";"";"4";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"32";"2 ";"";"12";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"35";"2 ";"";"1";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"38";"2 ";"";"1";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"41";"2 ";"";"12";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"43";"4 ";"";"3";"";"0";"30/08/2019";"cvs02";"02/09/2005"
"3548802082330";"45";"5 ";"";"9";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"3548802082330";"74";"3 ";"";"9";"";"0";"30/08/2019";"NANCI";"02/09/2005"
"4113703569640";"15";"1 ";"";"3";"";"0";"29/04/2019";"DACA";"02/09/2005"
"4315902228734";"13";"1 ";"";"12";"";"10";"03/02/2020";"VIVIANE";"02/09/2005"
"3303902275589";"33";"2 ";"";"35";"";"35";"20/02/2020";"DRCAA";"03/07/2004"
"3303902275589";"47";"6 ";"";"10";"";"10";"20/02/2020";"FCES";"03/07/2004"
"3303902275589";"74";"3 ";"";"10";"";"5";"20/02/2020";"DRCAA";"03/07/2004"
"3304552270536";"33";"2 ";"";"5";"";"0";"27/11/2007";"SMS RIO";"03/07/2004"
"2202404008340";"33";"2 ";"";"4";"";"4";"21/08/2019";"FCES";"03/07/2004"
"2202502778459";"33";"2 ";"";"5";"";"5";"01/10/2019";"vanderilo";"03/07/2004"
"2202502778459";"45";"5 ";"";"4";"";"4";"01/10/2019";"vanderilo";"03/07/2004"
"2203352766841";"45";"5 ";"";"4";"";"4";"23/08/2019";"SORAYA";"03/07/2004"
"2204004008774";"45";"5 ";"";"5";"";"5";"21/08/2019";"FCES";"03/07/2004"
"2204202324504";"33";"2 ";"";"6";"";"6";"22/08/2019";"vanderilo";"03/07/2004"
"2204702324253";"45";"5 ";"";"2";"";"2";"21/08/2019";"SORAYA";"03/07/2004"
"2204802694212";"33";"2 ";"";"6";"";"6";"09/12/2019";"SORAYA";"03/07/2004"
"2205002694220";"03";"1 ";"";"3";"";"3";"06/02/2020";"FCES";"03/07/2004"
"2205002694220";"33";"2 ";"";"10";"";"10";"06/02/2020";"FCES";"03/07/2004"
"4316802254964";"68";"5 ";"";"5";"";"4";"05/07/2019";"GESTOR";"07/09/2008"
"4316802254964";"78";"3 ";"";"4";"";"4";"05/07/2019";"GESTOR";"07/09/2008"
"2205404009045";"10";"4 ";"";"3";"";"3";"21/08/2019";"FCES";"03/07/2004"
"2205404009045";"45";"5 ";"";"6";"";"6";"21/08/2019";"FCES";"03/07/2004"
"2408102656957";"33";"2 ";"";"11";"";"0";"13/02/2014";"FCES";"03/06/2004"
"2408102656957";"45";"5 ";"";"11";"";"0";"13/02/2014";"FCES";"03/06/2004"
"2200202323923";"33";"2 ";"";"10";"";"10";"06/01/2020";"MESTRE";"21/03/2006"
"2200202323923";"45";"5 ";"";"4";"";"4";"06/01/2020";"MESTRE";"21/03/2006"
"3508602024772";"31";"2 ";"";"1";"";"1";"03/02/2020";"JUNIOR";"03/06/2004"
"1716202560240";"33";"2 ";"";"13";"";"13";"07/06/2019";"FCES";"22/03/2006"
"1716202560240";"45";"5 ";"";"4";"";"4";"07/06/2019";"FCES";"22/03/2006"
"2304402651408";"43";"4 ";"";"23";"";"0";"31/07/2014";"LIZZANGELA";"22/03/2006"
"3549802097613";"78";"3 ";"";"4";"";"3";"28/02/2020";"MARLI";"22/03/2006"
"3305102274515";"45";"5 ";"";"90";"";"90";"22/03/2012";"marcelo";"23/03/2006"
"5103403851249";"03";"1 ";"";"5";"";"4";"29/11/2019";"123456";"23/03/2006"
"5103403851249";"06";"1 ";"";"2";"";"1";"29/11/2019";"123456";"23/03/2006"
"4316802254964";"81";"3 ";"";"8";"";"7";"05/07/2019";"GESTOR";"07/09/2008"
"5103403851249";"33";"2 ";"";"24";"";"23";"29/11/2019";"123456";"23/03/2006"
"5213852437198";"10";"4 ";"";"1";"";"1";"18/02/2020";"FCES";"11/11/2004"
"5213852437198";"45";"5 ";"";"3";"";"3";"18/02/2020";"FCES";"11/11/2004"
"2601802703076";"43";"4 ";"";"1";"";"1";"07/11/2019";"FCES";"11/11/2004"
"2602302638835";"03";"1 ";"";"10";"";"10";"04/06/2019";"USUARIO";"11/11/2004"
"2602302638835";"33";"2 ";"";"18";"";"18";"04/06/2019";"USUARIO";"11/11/2004"
"2602302638835";"45";"5 ";"";"14";"";"14";"04/06/2019";"FCES";"11/11/2004"
"3205300011843";"33";"2 ";"";"1";"";"1";"21/02/2020";"CONCEICAO";"21/07/2010"
"2602802639041";"33";"2 ";"";"19";"";"19";"17/12/2019";"VANIA";"11/11/2004"
"2602802639041";"45";"5 ";"";"7";"";"7";"17/12/2019";"FCES";"11/11/2004"
"3506103137163";"10";"4 ";"";"5";"";"0";"03/06/2019";"FCES";"04/06/2004"
"3506103137163";"43";"4 ";"";"3";"";"0";"03/06/2019";"WILLIANS";"04/06/2004"
"2606002639009";"68";"5 ";"";"1";"";"1";"07/10/2019";"LUCAS";"23/03/2006"
"2611602427427";"40";"2 ";"";"6";"";"6";"06/11/2019";"JAQUELINE";"23/03/2006"
"2603402348713";"33";"2 ";"";"8";"";"8";"27/01/2020";"MESTRE";"11/11/2004"
"2603402348713";"45";"5 ";"";"5";"";"5";"27/01/2020";"MESTRE";"11/11/2004"
"2603502703386";"45";"5 ";"";"2";"";"2";"03/09/2019";"FCES";"11/11/2004"
"2918002550555";"45";"5 ";"";"13";"";"0";"28/02/2020";"ISISENF";"03/07/2004"
"2304402528924";"10";"4 ";"";"26";"";"0";"11/02/2011";"LIZZANGELA";"03/07/2004"
"2304402815931";"33";"2 ";"";"45";"";"0";"20/12/2010";"LIZZANGELA";"03/07/2004"
"2304402815931";"74";"3 ";"";"8";"";"0";"20/12/2010";"FCES";"03/07/2004"
"2304402815931";"65";"3 ";"";"4";"";"0";"20/12/2010";"FCES";"03/07/2004"
"2301702514729";"33";"2 ";"";"22";"";"22";"04/03/2020";"80604951353";"03/07/2004"
"2301702514729";"45";"5 ";"";"24";"";"24";"04/03/2020";"FCES";"03/07/2004"
"2308102560828";"10";"4 ";"";"3";"";"3";"07/01/2020";"CNES";"03/07/2004"
"2308102560828";"43";"4 ";"";"7";"";"7";"07/01/2020";"CNES";"03/07/2004"
"5209602382415";"03";"1 ";"";"2";"";"2";"04/09/2019";"FCES";"03/07/2004"
"2211002551926";"10";"4 ";"";"35";"";"0";"09/12/2019";"GESTORES";"21/07/2010"
"2211002551926";"15";"1 ";"";"1";"";"0";"09/12/2019";"GESTORES";"21/07/2010"
"3168002098369";"81";"3 ";"";"8";"";"8";"20/12/2019";"SAUDE";"01/06/2018"
"3168002098369";"92";"3 ";"";"2";"";"2";"20/12/2019";"SAUDE";"01/06/2018"
"5208702339196";"06";"1 ";"";"5";"";"5";"28/10/2019";"JANETE";"03/07/2004"
"3554103126838";"78";"3 ";"";"9";"";"9";"29/10/2019";"PASCHOAL";"25/07/2010"
"4314902265052";"45";"5 ";"";"3";"";"3";"29/10/2019";"VLADIMIR";"01/06/2018"
"5208702339196";"43";"4 ";"";"22";"";"22";"28/10/2019";"JANETE";"03/07/2004"
"2304402611686";"78";"3 ";"";"5";"";"0";"18/12/2019";"MILENA";"01/06/2018"
"2304406538460";"47";"6 ";"";"86";"";"0";"06/01/2020";"MILENA";"01/06/2018"
"5214607681585";"03";"1 ";"";"1";"";"0";"05/09/2019";"521460";"01/06/2018"
"5214607681585";"10";"4 ";"";"1";"";"0";"05/09/2019";"521460";"01/06/2018"
"5214607681585";"33";"2 ";"";"6";"";"0";"05/09/2019";"521460";"01/06/2018"
"5208702339722";"02";"1 ";"";"8";"";"6";"25/07/2019";"FCES";"03/07/2004"
"2304403179753";"11";"1 ";"";"2";"";"0";"05/12/2019";"LIZZANGELA";"03/07/2004"
"3131202761270";"13";"1 ";"";"1";"";"1";"20/01/2020";"SIDNEY";"25/04/2007"
"3131202761270";"43";"4 ";"";"3";"";"2";"20/01/2020";"SIDNEY";"25/04/2007"
"2311307434472";"45";"5 ";"";"3";"";"3";"30/01/2020";"TOINHA";"07/01/2019"
"2910052532549";"10";"4 ";"";"2";"";"2";"06/12/2019";"GERCAA";"01/06/2018"
"4117702686929";"87";"2 ";"";"4";"";"0";"22/01/2020";"PALMEIRA";"01/06/2018"
"4122002554429";"43";"4 ";"";"12";"";"11";"20/02/2020";"DEBORA";"01/06/2018"
"3131502128004";"45";"5 ";"";"3";"";"3";"30/08/2019";"PAMELA";"25/04/2007"
"3131802102579";"10";"4 ";"";"1";"";"1";"18/10/2019";"NILCYMARA";"25/04/2007"
"3131802102579";"45";"5 ";"";"3";"";"3";"18/10/2019";"HELEN";"25/04/2007"
"3131902213982";"33";"2 ";"";"31";"";"22";"16/01/2020";"AMANDA";"25/04/2007"
"3131902213982";"45";"5 ";"";"3";"";"2";"16/01/2020";"AMANDA";"25/04/2007"
"3132202142627";"03";"1 ";"";"12";"";"12";"06/03/2020";"ADRIANA";"25/04/2007"
"3132202142627";"33";"2 ";"";"24";"";"19";"06/03/2020";"ADRIANA";"25/04/2007"
"3551002080729";"06";"1 ";"";"8";"";"0";"08/08/2019";"PAULORIG";"22/07/2011"
"3132302760975";"33";"2 ";"";"15";"";"15";"07/06/2019";"ROBSON";"25/04/2007"
"4128107845138";"09";"1 ";"";"8";"";"8";"26/02/2020";"UOPECCANUMU";"01/06/2018"
"3132402127687";"06";"1 ";"";"2";"";"1";"07/02/2020";"PAMELA";"25/04/2007"
"3132402127687";"14";"1 ";"";"2";"";"1";"07/02/2020";"NANCY";"25/04/2007"
"3132402127687";"33";"2 ";"";"13";"";"9";"07/02/2020";"ITAJUBA";"25/04/2007"
"2500102605430";"33";"2 ";"";"10";"";"10";"22/01/2020";"AUDITORIA";"07/06/2004"
"2500102605430";"45";"5 ";"";"6";"";"6";"22/01/2020";"SAULO";"07/06/2004"
"2504602341166";"06";"1 ";"";"12";"";"12";"22/12/2008";"CONDE";"07/06/2004"
"2504602341166";"33";"2 ";"";"14";"";"14";"22/12/2008";"FCES";"07/06/2004"
"2504602341166";"45";"5 ";"";"10";"";"10";"22/12/2008";"FCES";"07/06/2004"
"3132402127687";"42";"2 ";"";"1";"";"1";"07/02/2020";"NANCY";"25/04/2007"
"3132402127687";"45";"5 ";"";"2";"";"1";"07/02/2020";"PAMELA";"25/04/2007"
"2508302757699";"03";"1 ";"";"8";"";"8";"24/12/2019";"CNES";"07/06/2004"
"2508302757699";"33";"2 ";"";"6";"";"6";"24/12/2019";"FCES";"07/06/2004"
"2508302757699";"45";"5 ";"";"5";"";"5";"24/12/2019";"FCES";"07/06/2004"
"4128107845138";"13";"1 ";"";"8";"";"8";"26/02/2020";"UOPECCANUMU";"01/06/2018"
"2311307434472";"66";"3 ";"";"1";"";"1";"30/01/2020";"TOINHA";"07/01/2019"
"5103409331050";"75";"3 ";"";"10";"";"2";"06/01/2020";"GUEDES";"10/01/2019"
"2512002613638";"33";"2 ";"";"34";"";"34";"14/02/2020";"SAUDE";"07/06/2004"
"2512002613638";"43";"4 ";"";"7";"";"7";"14/02/2020";"auditoria";"07/06/2004"
"2513402321122";"03";"1 ";"";"13";"";"13";"05/07/2019";"SCNES";"07/06/2004"
"3132402208857";"10";"4 ";"";"10";"";"6";"07/02/2020";"ITAJUBA";"25/04/2007"
"5219306665322";"78";"3 ";"";"10";"";"10";"02/12/2019";"HURS1";"22/07/2011"
"4115202594838";"84";"6 ";"";"4";"";"4";"17/12/2019";"MARISA";"10/01/2019"
"4115209399852";"11";"1 ";"";"2";"";"2";"30/01/2020";"MARISA";"10/01/2019"
"2513402321122";"43";"4 ";"";"5";"";"5";"05/07/2019";"SCNES";"07/06/2004"
"3106200027847";"07";"7 ";"";"6";"";"0";"04/12/2019";"ISABEL";"09/08/2011"
"4314902693801";"07";"7 ";"";"4";"";"4";"31/10/2019";"VALDIR";"09/08/2011"
"4103302573423";"33";"2 ";"";"12";"";"12";"17/01/2020";"VERA";"07/06/2004"
"2303202425343";"48";"6 ";"";"1";"";"1";"21/02/2020";"SCNES";"10/01/2019"
"2303202425343";"73";"7 ";"";"1";"";"1";"21/02/2020";"SCNES";"10/01/2019"
"3132502135930";"33";"2 ";"";"19";"";"19";"30/01/2020";"ELENITO";"25/04/2007"
"3302202278871";"09";"1 ";"";"1";"";"1";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"11";"1 ";"";"1";"";"1";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"13";"1 ";"";"4";"";"4";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"15";"1 ";"";"1";"";"1";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"33";"2 ";"";"7";"";"3";"04/11/2013";"SCNES";"31/01/2005"
"3302202278871";"40";"2 ";"";"2";"";"2";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"42";"2 ";"";"1";"";"1";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"44";"2 ";"";"1";"";"1";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"46";"2 ";"";"2";"";"2";"04/11/2013";"ignael muniz";"31/01/2005"
"3302202278871";"74";"3 ";"";"6";"";"0";"04/11/2013";"SCNES";"31/01/2005"
"4203202691523";"07";"7 ";"";"5";"";"5";"17/10/2019";"420320";"10/01/2019"
"2921302498456";"33";"2 ";"";"8";"";"8";"25/01/2020";"SMS";"31/01/2005"
"2921302498456";"45";"5 ";"";"3";"";"3";"25/01/2020";"SMS";"31/01/2005"
"2304803384993";"33";"2 ";"";"15";"";"15";"22/05/2019";"GRANJEIRO";"01/02/2005"
"3105602098938";"02";"1 ";"";"15";"";"15";"22/10/2019";"GESTOR";"01/02/2005"
"3105602138875";"09";"1 ";"";"23";"";"14";"05/02/2020";"GESTOR";"01/02/2005"
"3503102077515";"33";"2 ";"";"5";"";"5";"25/11/2019";"fces";"02/02/2005"
"2501002613387";"10";"4 ";"";"5";"";"5";"05/07/2017";"ARARUNA";"02/02/2005"
"2501002613387";"43";"4 ";"";"8";"";"8";"05/07/2017";"ARARUNA";"02/02/2005"
"2501002613387";"47";"6 ";"";"2";"";"2";"05/07/2017";"FCES";"02/02/2005"
"3303602279355";"45";"5 ";"";"6";"";"6";"03/10/2019";"PARACAMBI";"02/02/2005"
"3304002267187";"66";"3 ";"";"1";"";"1";"23/01/2020";"CONTROLE";"28/04/2015"
"3303602279509";"10";"4 ";"";"10";"";"10";"07/07/2011";"LUIZ OTAVIO";"02/02/2005"
"3303602279525";"03";"1 ";"";"7";"";"0";"05/12/2019";"PARACAMBI";"02/02/2005"
"3303602279525";"33";"2 ";"";"4";"";"0";"05/12/2019";"PARACAMBI";"02/02/2005"
"3201502446030";"14";"1 ";"";"1";"";"1";"20/02/2020";"320150";"02/02/2005"
"3201502448521";"66";"3 ";"";"2";"";"2";"04/02/2020";"IZADORA";"02/02/2005"
"2312902426579";"43";"4 ";"";"10";"";"10";"04/03/2020";"COVAC";"03/02/2005"
"1708202546736";"47";"6 ";"";"2";"";"2";"06/06/2019";"IRENE";"04/02/2005"
"5202152382369";"33";"2 ";"";"4";"";"4";"07/02/2020";"ARAGUAPAZ";"09/11/2004"
"5202502535963";"03";"1 ";"";"1";"";"1";"03/07/2019";"FCES";"09/11/2004"
"5202502535963";"10";"4 ";"";"2";"";"2";"03/07/2019";"FCES";"09/11/2004"
"2910723017826";"07";"7 ";"";"2";"";"1";"03/03/2020";"FATURAMENTO";"05/05/2015"
"5203202381885";"10";"4 ";"";"2";"";"2";"07/10/2019";"ICSICS";"09/11/2004"
"5203202381885";"43";"4 ";"";"4";"";"4";"07/10/2019";"FCES";"09/11/2004"
"5203202381885";"66";"3 ";"";"1";"";"1";"07/10/2019";"FCES";"09/11/2004"
"3105602138875";"40";"2 ";"";"6";"";"6";"05/02/2020";"GESTOR";"09/05/2015"
"3170202153017";"66";"3 ";"";"1";"";"1";"21/11/2019";"JOAO ABREU";"01/08/2007"
"5204402442930";"10";"4 ";"";"1";"";"0";"21/05/2019";"MARCELO";"09/11/2004"
"5204402442930";"43";"4 ";"";"2";"";"0";"21/05/2019";"MARCELO";"09/11/2004"
"5204702384086";"03";"1 ";"";"1";"";"1";"30/10/2019";"DIVINO EDIR";"09/11/2004"
"5204702384086";"33";"2 ";"";"6";"";"6";"30/10/2019";"DIVINO EDIR";"09/11/2004"
"5204952437694";"03";"1 ";"";"2";"";"2";"05/03/2018";"VANILTON";"09/11/2004"
"5204952437694";"10";"4 ";"";"3";"";"3";"05/03/2018";"VANILTON";"09/11/2004"
"5204952437694";"43";"4 ";"";"3";"";"3";"05/03/2018";"VANILTON";"09/11/2004"
"4321952235366";"45";"5 ";"";"11";"";"10";"21/11/2019";"SAUDE";"12/03/2008"
"4113702577623";"79";"3 ";"";"10";"";"10";"02/07/2019";"FCES";"10/06/2015"
"4322202244225";"03";"1 ";"";"10";"";"8";"17/01/2020";"BEATRIZ";"12/03/2008"
"5206202383896";"03";"1 ";"";"4";"";"4";"15/01/2020";"SMSAUDE";"09/11/2004"
"5206202383896";"33";"2 ";"";"20";"";"20";"15/01/2020";"SMSAUDE";"09/11/2004"
"2910802602857";"36";"2 ";"";"2";"";"0";"05/02/2020";"NESTER";"09/05/2015"
"4315002250810";"33";"2 ";"";"37";"";"30";"03/01/2020";"LEILA";"22/11/2004"
"4322202244225";"10";"4 ";"";"4";"";"3";"17/01/2020";"BEATRIZ";"12/03/2008"
"4322202244225";"34";"6 ";"";"4";"";"3";"17/01/2020";"SAUDE";"12/03/2008"
"4322202244225";"45";"5 ";"";"10";"";"8";"17/01/2020";"SAUDE";"12/03/2008"
"4322402248190";"03";"1 ";"";"13";"";"10";"05/03/2020";"SAUDE";"12/03/2008"
"4315002250810";"47";"6 ";"";"6";"";"5";"03/01/2020";"LEILA";"22/11/2004"
"4322402248190";"05";"1 ";"";"4";"";"2";"05/03/2020";"SAUDE";"12/03/2008"
"4322402248190";"08";"1 ";"";"1";"";"1";"05/03/2020";"SAUDE";"12/03/2008"
"4322402248190";"11";"1 ";"";"1";"";"1";"05/03/2020";"FCES";"12/03/2008"
"4311402252287";"66";"3 ";"";"7";"";"4";"07/11/2019";"HBBHBB";"09/05/2015"
"4311402252287";"68";"5 ";"";"4";"";"3";"07/11/2019";"HBBHBB";"09/05/2015"
"2307702373823";"10";"4 ";"";"12";"";"0";"03/12/2010";"NONATO";"03/06/2004"
"4101402439263";"78";"3 ";"";"2";"";"2";"19/12/2019";"GISLAINE";"05/09/2008"
"5209952442701";"45";"5 ";"";"6";"";"0";"16/04/2019";"SAUDE10";"11/11/2004"
"5210902534517";"03";"1 ";"";"4";"";"4";"20/11/2019";"SAUDE";"11/11/2004"
"5210902534517";"33";"2 ";"";"16";"";"16";"20/11/2019";"SAUDE";"11/11/2004"
"5211202535157";"03";"1 ";"";"4";"";"4";"24/01/2020";"SCHINEIDER";"11/11/2004"
"5211202535157";"43";"4 ";"";"8";"";"8";"24/01/2020";"SCHINEIDER";"11/11/2004"
"5211302436930";"03";"1 ";"";"3";"";"3";"02/03/2020";"ADM2008";"11/11/2004"
"5211302436930";"10";"4 ";"";"1";"";"1";"02/03/2020";"FCES";"11/11/2004"
"5211302436930";"43";"4 ";"";"2";"";"2";"02/03/2020";"FCES";"11/11/2004"
"5211402437120";"03";"1 ";"";"4";"";"4";"04/12/2019";"FCES";"11/11/2004"
